user,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
Hiten#5040,3,0,0,0,0,0,0,0,0,0,3,0,13,1,0,21,7,0,7,2,3,0,5,2,67
Armando#9710,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
MegaTech#3319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4
crackprosh#2221,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7
Heyzeus#5605,1,0,4,0,0,0,0,0,1,2,1,2,3,0,0,2,4,3,3,3,5,14,10,3,61
Drewnami#6797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lee🐧#0890,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
SunbreakerforLife#6989,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6
bokchoiii#2235,0,0,0,0,0,16,0,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
cdorner#9745,0,0,0,0,0,0,0,7,5,2,0,0,0,0,1,0,1,0,0,1,1,1,0,1,20
FatMac#8726,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ari5#1107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wlofaubro#7636,0,0,0,0,0,0,0,0,2,0,2,60,19,3,3,8,7,14,6,6,5,21,17,0,173
breezyexcursion#9570,0,0,0,0,0,0,0,0,4,3,0,18,17,0,3,8,1,10,6,2,3,2,8,0,85
Hosea#8894,0,0,0,0,0,0,0,0,0,0,3,9,11,1,7,5,2,1,0,4,2,16,15,1,77
NigerianKnightmare#9835,0,0,0,0,0,0,0,0,0,0,0,42,2,6,1,0,0,0,0,0,0,0,0,0,51
renavlt#4826,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,5,0,0,0,0,2,3,0,0,18
BatmanVonDoom#4077,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
soup#8488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,9
alexadorable#0434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
Neoconkers#1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Tatsumaki#8792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
total,13,1,14,2,2,16,0,52,35,7,9,138,67,15,16,56,24,35,26,18,26,57,57,7,693